,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,2. Anna,21,Female,Non-English,1,Once,0.35278411800027243
1,2. Anna,21,Female,Non-English,1,upon,0.2863680150003347
2,2. Anna,21,Female,Non-English,1,a,0.36689778700019815
3,2. Anna,21,Female,Non-English,1,"time,",0.33533028100282536
4,2. Anna,21,Female,Non-English,1,a,0.32670499599771574
5,2. Anna,21,Female,Non-English,1,very,0.3005053360029706
6,2. Anna,21,Female,Non-English,1,long,0.28792952000003424
7,2. Anna,21,Female,Non-English,1,time,0.33625984500031336
8,2. Anna,21,Female,Non-English,1,ago,0.4196598039998207
9,2. Anna,21,Female,Non-English,1,"now,",0.37572800500129233
10,2. Anna,21,Female,Non-English,1,about,0.34195431000262033
11,2. Anna,21,Female,Non-English,1,last,0.2851845500008494
12,2. Anna,21,Female,Non-English,1,"Friday,",0.3272187809998286
13,2. Anna,21,Female,Non-English,1,Winnie-the-Pooh,0.4918020860022807
14,2. Anna,21,Female,Non-English,1,lived,0.33383902499917895
15,2. Anna,21,Female,Non-English,1,in,0.36642271900200285
16,2. Anna,21,Female,Non-English,1,a,0.3798622479989717
17,2. Anna,21,Female,Non-English,1,forest,0.392360768000799
18,2. Anna,21,Female,Non-English,1,all,0.4042430730005435
19,2. Anna,21,Female,Non-English,1,by,0.3766704479967302
20,2. Anna,21,Female,Non-English,1,himself,0.4404696210003749
21,2. Anna,21,Female,Non-English,1,under,0.36287247799918987
22,2. Anna,21,Female,Non-English,1,the,0.371970953001437
23,2. Anna,21,Female,Non-English,1,name,0.34622775000025285
24,2. Anna,21,Female,Non-English,1,of,0.43379271300000255
25,2. Anna,21,Female,Non-English,1,Sanders.,0.46964464399934513
26,2. Anna,21,Female,Non-English,1,One,0.411299933999544
27,2. Anna,21,Female,Non-English,1,day,0.3342512330018508
28,2. Anna,21,Female,Non-English,1,when,0.37050259500028915
29,2. Anna,21,Female,Non-English,1,he,0.3407581030005531
30,2. Anna,21,Female,Non-English,1,was,0.3308518119993096
31,2. Anna,21,Female,Non-English,1,out,0.32663280699853203
32,2. Anna,21,Female,Non-English,1,"walking,",0.37365237199992407
33,2. Anna,21,Female,Non-English,1,he,0.345642375999887
34,2. Anna,21,Female,Non-English,1,came,0.326601804998063
35,2. Anna,21,Female,Non-English,1,to,0.3303739319999295
36,2. Anna,21,Female,Non-English,1,an,0.33292735799841466
37,2. Anna,21,Female,Non-English,1,open,0.3576612459983153
38,2. Anna,21,Female,Non-English,1,place,0.41734265799823334
