,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,2. J,21,Male,Non-English,1,Once,0.524203809996834
1,2. J,21,Male,Non-English,1,upon,0.4501346699980786
2,2. J,21,Male,Non-English,1,a,0.4621781509995344
3,2. J,21,Male,Non-English,1,"time,",0.36825309700361686
4,2. J,21,Male,Non-English,1,a,0.4862830580023001
5,2. J,21,Male,Non-English,1,very,0.5299798109990661
6,2. J,21,Male,Non-English,1,long,0.48746794299950125
7,2. J,21,Male,Non-English,1,time,0.5539084009942599
8,2. J,21,Male,Non-English,1,ago,0.5330261310009519
9,2. J,21,Male,Non-English,1,"now,",0.6386306850035908
10,2. J,21,Male,Non-English,1,about,0.62134268200316
11,2. J,21,Male,Non-English,1,last,0.6576123780032503
12,2. J,21,Male,Non-English,1,"Friday,",0.6432757430011407
13,2. J,21,Male,Non-English,1,Winnie-the-Pooh,0.7101690400013467
14,2. J,21,Male,Non-English,1,lived,0.476513966001221
15,2. J,21,Male,Non-English,1,in,0.5685412479942897
16,2. J,21,Male,Non-English,1,a,0.4512657199957175
17,2. J,21,Male,Non-English,1,forest,0.57028918099968
18,2. J,21,Male,Non-English,1,all,0.4947434829955455
19,2. J,21,Male,Non-English,1,by,0.6000479750000522
20,2. J,21,Male,Non-English,1,himself,0.5453396210068604
21,2. J,21,Male,Non-English,1,under,0.5741812730047968
22,2. J,21,Male,Non-English,1,the,0.633971390001534
23,2. J,21,Male,Non-English,1,name,0.5837593779942836
24,2. J,21,Male,Non-English,1,of,0.5839018580008997
25,2. J,21,Male,Non-English,1,Sanders.,1.4219941249975818
26,2. J,21,Male,Non-English,1,One,0.737765928999579
27,2. J,21,Male,Non-English,1,day,0.5494133649990545
28,2. J,21,Male,Non-English,1,when,0.634049968997715
29,2. J,21,Male,Non-English,1,he,0.6073322930024005
30,2. J,21,Male,Non-English,1,was,0.5078063309993013
31,2. J,21,Male,Non-English,1,out,0.5887534149951534
32,2. J,21,Male,Non-English,1,"walking,",0.5211337639993872
33,2. J,21,Male,Non-English,1,he,0.6847692079973058
34,2. J,21,Male,Non-English,1,came,0.5345137609983794
35,2. J,21,Male,Non-English,1,to,0.5286452029977227
36,2. J,21,Male,Non-English,1,an,0.47389594199921703
37,2. J,21,Male,Non-English,1,open,0.490764106005372
38,2. J,21,Male,Non-English,1,place,0.5249936879990855
39,2. J,21,Male,Non-English,1,in,0.48489123299805215
40,2. J,21,Male,Non-English,1,the,0.5244401739983005
41,2. J,21,Male,Non-English,1,middle,0.5446484829953988
42,2. J,21,Male,Non-English,1,of,0.4801145599994925
43,2. J,21,Male,Non-English,1,the,0.47654235999652883
44,2. J,21,Male,Non-English,1,"forest,",0.5477098579940503
45,2. J,21,Male,Non-English,1,and,0.5889556350011844
46,2. J,21,Male,Non-English,1,in,0.7734536429998116
47,2. J,21,Male,Non-English,1,the,0.6189771270001074
48,2. J,21,Male,Non-English,1,middle,0.5051915619987994
49,2. J,21,Male,Non-English,1,of,0.44600721199822146
50,2. J,21,Male,Non-English,1,this,0.5229323469975498
51,2. J,21,Male,Non-English,1,place,0.5617311500027427
52,2. J,21,Male,Non-English,1,was,0.5350502879955457
53,2. J,21,Male,Non-English,1,a,0.529746731997875
54,2. J,21,Male,Non-English,1,large,0.49861956099630333
55,2. J,21,Male,Non-English,1,"oak-tree,",0.8820710110012442
56,2. J,21,Male,Non-English,1,"and,",0.6165763749959297
57,2. J,21,Male,Non-English,1,from,0.7367682629992487
58,2. J,21,Male,Non-English,1,the,0.5355031340004643
59,2. J,21,Male,Non-English,1,top,0.5336573999957182
60,2. J,21,Male,Non-English,1,of,0.5120376229970134
61,2. J,21,Male,Non-English,1,the,0.575712989004387
62,2. J,21,Male,Non-English,1,"tree,",0.599038633001328
63,2. J,21,Male,Non-English,1,there,0.7977889180037891
64,2. J,21,Male,Non-English,1,came,0.6339597309997771
65,2. J,21,Male,Non-English,1,a,0.7187991480022902
66,2. J,21,Male,Non-English,1,loud,0.7030407719939831
67,2. J,21,Male,Non-English,1,buzzing-noise.,1.2159724600060144
