,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,Once,1.4991747720000603
1,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,upon,1.287541827000041
2,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,a,1.3186342670001068
3,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,"time,",1.0819553890000861
4,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,a,1.2122601199998826
5,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,very,1.0537349060000452
6,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,long,1.009340394999981
7,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,time,1.0020198520001031
8,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,ago,1.0348226119999708
9,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,"now,",1.0923696619997827
10,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,about,1.0796490020002238
11,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,last,1.2284838129999116
12,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,"Friday,",1.2567508970000745
13,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,Winnie-the-Pooh,2.353165364999768
14,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,lived,1.7451773699999649
15,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,in,1.0777889209998648
16,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,a,1.1824912779998158
17,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,forest,1.4124439379997966
18,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,all,1.2187634160000016
19,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,by,1.1924732620000214
20,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,himself,1.5522453839998889
21,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,under,1.3532009760001529
22,2. Oliver Bloksgaard Nielsen,21,Male,Non-English,1,the,1.319587350999882
