,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,2. S,22,Female,English,2,Once,1.5864979759999187
1,2. S,22,Female,English,2,upon,1.5692789750000884
2,2. S,22,Female,English,2,a,1.8596240560000297
3,2. S,22,Female,English,2,"time,",1.1986937359997683
4,2. S,22,Female,English,2,a,1.9795907309999166
5,2. S,22,Female,English,2,very,1.8445413190002
6,2. S,22,Female,English,2,long,1.4661674989997664
7,2. S,22,Female,English,2,time,2.1102212390001114
8,2. S,22,Female,English,2,ago,2.274211832999754
9,2. S,22,Female,English,2,"now,",3.2035977950004053
10,2. S,22,Female,English,2,about,1.7358099869998114
11,2. S,22,Female,English,2,last,2.553765694000049
12,2. S,22,Female,English,2,"Friday,",2.437287815000218
13,2. S,22,Female,English,2,Winnie-the-Pooh,2.588002254999992
14,2. S,22,Female,English,2,lived,1.656308400999933
15,2. S,22,Female,English,2,in,1.5614310629998727
16,2. S,22,Female,English,2,a,1.4737606179996874
17,2. S,22,Female,English,2,forest,1.7161808000000747
18,2. S,22,Female,English,2,all,1.7653317680001237
19,2. S,22,Female,English,2,by,1.7907337759997972
20,2. S,22,Female,English,2,himself,1.7959023499997784
21,2. S,22,Female,English,2,under,1.9028360079996673
22,2. S,22,Female,English,2,the,1.624083735000113
23,2. S,22,Female,English,2,name,1.669430626999656
24,2. S,22,Female,English,2,of,1.8266739310001867
25,2. S,22,Female,English,2,Sanders.,2.6840540930002135
26,2. S,22,Female,English,2,One,1.844220354999834
27,2. S,22,Female,English,2,day,1.9989800489997833
28,2. S,22,Female,English,2,when,1.8119947430000138
29,2. S,22,Female,English,2,he,2.058047230000284
30,2. S,22,Female,English,2,was,2.3375991550001345
31,2. S,22,Female,English,2,out,1.5683642680000958
32,2. S,22,Female,English,2,"walking,",1.9503118479997283
33,2. S,22,Female,English,2,he,2.446761675000289
34,2. S,22,Female,English,2,came,1.9674052640002628
35,2. S,22,Female,English,2,to,1.6851565550000487
36,2. S,22,Female,English,2,an,1.9852579850003167
37,2. S,22,Female,English,2,open,1.5849481189998187
38,2. S,22,Female,English,2,place,1.8724790149999535
39,2. S,22,Female,English,2,in,1.4215706879999743
40,2. S,22,Female,English,2,the,1.727961788000357
41,2. S,22,Female,English,2,middle,2.044050916999822
42,2. S,22,Female,English,2,of,1.7431383429998277
43,2. S,22,Female,English,2,the,1.6898171959996944
44,2. S,22,Female,English,2,"forest,",2.623178198000005
45,2. S,22,Female,English,2,and,1.677380035999704
46,2. S,22,Female,English,2,in,1.9664139249998698
47,2. S,22,Female,English,2,the,1.7868460409999898
48,2. S,22,Female,English,2,middle,1.7201215699997192
49,2. S,22,Female,English,2,of,1.5978761080000368
50,2. S,22,Female,English,2,this,2.3734137599999485
51,2. S,22,Female,English,2,place,1.3844256259999383
52,2. S,22,Female,English,2,was,1.5370688040002278
53,2. S,22,Female,English,2,a,1.7087188259997674
54,2. S,22,Female,English,2,large,2.0239188230002583
55,2. S,22,Female,English,2,"oak-tree,",2.1059310200002983
56,2. S,22,Female,English,2,"and,",1.7514304810001704
57,2. S,22,Female,English,2,from,1.6853131160000885
58,2. S,22,Female,English,2,the,1.5491663190000509
59,2. S,22,Female,English,2,top,1.6085957669997697
60,2. S,22,Female,English,2,of,1.5829619930000263
61,2. S,22,Female,English,2,the,1.6976283079998211
62,2. S,22,Female,English,2,"tree,",1.5700137009998798
63,2. S,22,Female,English,2,there,1.65063429599968
