,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,2. Therese,22,Female,Non-English,2,Once,0.7134672020001744
1,2. Therese,22,Female,Non-English,2,upon,0.4277999030018691
2,2. Therese,22,Female,Non-English,2,a,0.4565021760026866
3,2. Therese,22,Female,Non-English,2,"time,",0.4697145290010667
4,2. Therese,22,Female,Non-English,2,a,0.43395406899799127
5,2. Therese,22,Female,Non-English,2,very,0.4739703049999662
6,2. Therese,22,Female,Non-English,2,long,0.49280619700220996
7,2. Therese,22,Female,Non-English,2,time,0.5704212979981094
8,2. Therese,22,Female,Non-English,2,ago,0.46184481200180016
9,2. Therese,22,Female,Non-English,2,"now,",0.652400963997934
10,2. Therese,22,Female,Non-English,2,about,0.763459245001286
11,2. Therese,22,Female,Non-English,2,last,0.4564963250013534
12,2. Therese,22,Female,Non-English,2,"Friday,",0.6463286539983528
13,2. Therese,22,Female,Non-English,2,Winnie-the-Pooh,0.5891773470029875
14,2. Therese,22,Female,Non-English,2,lived,0.6363816379998752
15,2. Therese,22,Female,Non-English,2,in,0.7440413149997767
16,2. Therese,22,Female,Non-English,2,a,0.42481990799933556
17,2. Therese,22,Female,Non-English,2,forest,0.536671550002211
18,2. Therese,22,Female,Non-English,2,all,0.41540923200227553
19,2. Therese,22,Female,Non-English,2,by,0.6956241430016235
20,2. Therese,22,Female,Non-English,2,himself,0.5008003949988051
21,2. Therese,22,Female,Non-English,2,under,0.45328159400014556
22,2. Therese,22,Female,Non-English,2,the,0.502672110000276
23,2. Therese,22,Female,Non-English,2,name,0.5642094680006267
24,2. Therese,22,Female,Non-English,2,of,0.8620358009975462
25,2. Therese,22,Female,Non-English,2,Sanders.,0.6325532029986789
26,2. Therese,22,Female,Non-English,2,One,0.5437292889982928
27,2. Therese,22,Female,Non-English,2,day,0.5178351480026322
28,2. Therese,22,Female,Non-English,2,when,0.6253442670022196
29,2. Therese,22,Female,Non-English,2,he,0.49521035799989477
30,2. Therese,22,Female,Non-English,2,was,0.6292566720003379
31,2. Therese,22,Female,Non-English,2,out,0.5525239859998692
32,2. Therese,22,Female,Non-English,2,"walking,",0.6850504959984391
33,2. Therese,22,Female,Non-English,2,he,0.455602556001395
34,2. Therese,22,Female,Non-English,2,came,0.4804588360020716
35,2. Therese,22,Female,Non-English,2,to,0.5792720569988887
