,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,2. anonym,25,Male,Non-English,1,Once,1.0791086129902396
1,2. anonym,25,Male,Non-English,1,upon,0.7904324909904972
2,2. anonym,25,Male,Non-English,1,a,0.7881780400057323
3,2. anonym,25,Male,Non-English,1,"time,",1.3130653650005115
4,2. anonym,25,Male,Non-English,1,a,1.0025054739962798
5,2. anonym,25,Male,Non-English,1,very,1.2878137299994705
6,2. anonym,25,Male,Non-English,1,long,1.003876709000906
7,2. anonym,25,Male,Non-English,1,time,0.9653973730019061
8,2. anonym,25,Male,Non-English,1,ago,0.8953936850011814
9,2. anonym,25,Male,Non-English,1,"now,",1.7562439470057143
10,2. anonym,25,Male,Non-English,1,about,1.053759168004035
11,2. anonym,25,Male,Non-English,1,last,1.150787485006731
12,2. anonym,25,Male,Non-English,1,"Friday,",1.0533012789965142
13,2. anonym,25,Male,Non-English,1,Winnie-the-Pooh,1.1690542510041269
14,2. anonym,25,Male,Non-English,1,lived,0.7395090100035304
15,2. anonym,25,Male,Non-English,1,in,0.6453385979984887
16,2. anonym,25,Male,Non-English,1,a,0.8036782350100111
17,2. anonym,25,Male,Non-English,1,forest,0.8290748139988864
18,2. anonym,25,Male,Non-English,1,all,0.8534227299969643
19,2. anonym,25,Male,Non-English,1,by,0.8426753000094322
20,2. anonym,25,Male,Non-English,1,himself,0.6650465530110523
21,2. anonym,25,Male,Non-English,1,under,1.058965474992874
22,2. anonym,25,Male,Non-English,1,the,1.0349990320100915
23,2. anonym,25,Male,Non-English,1,name,0.8887560949951876
24,2. anonym,25,Male,Non-English,1,of,0.9438654300029157
25,2. anonym,25,Male,Non-English,1,Sanders.,1.1869187359989155
26,2. anonym,25,Male,Non-English,1,One,1.3343833010003436
27,2. anonym,25,Male,Non-English,1,day,0.6899001489946386
28,2. anonym,25,Male,Non-English,1,when,0.8239317390107317
29,2. anonym,25,Male,Non-English,1,he,0.7523848429991631
30,2. anonym,25,Male,Non-English,1,was,0.9611637850030093
31,2. anonym,25,Male,Non-English,1,out,0.9352362049976364
32,2. anonym,25,Male,Non-English,1,"walking,",0.8416510620008921
33,2. anonym,25,Male,Non-English,1,he,0.6781436369928997
34,2. anonym,25,Male,Non-English,1,came,0.75011175799591
35,2. anonym,25,Male,Non-English,1,to,0.7425208770000609
36,2. anonym,25,Male,Non-English,1,an,0.9293964590033283
37,2. anonym,25,Male,Non-English,1,open,0.7588793030008674
38,2. anonym,25,Male,Non-English,1,place,0.9308005440107081
39,2. anonym,25,Male,Non-English,1,in,0.7231464520009467
40,2. anonym,25,Male,Non-English,1,the,0.7230680399952689
41,2. anonym,25,Male,Non-English,1,middle,0.8692621960071847
42,2. anonym,25,Male,Non-English,1,of,0.5123869469971396
43,2. anonym,25,Male,Non-English,1,the,0.9998685460013803
44,2. anonym,25,Male,Non-English,1,"forest,",0.810936860012589
45,2. anonym,25,Male,Non-English,1,and,0.9740137619955931
46,2. anonym,25,Male,Non-English,1,in,0.8445151650084881
47,2. anonym,25,Male,Non-English,1,the,1.387297078006668
48,2. anonym,25,Male,Non-English,1,middle,0.7016350269987015
49,2. anonym,25,Male,Non-English,1,of,0.6850970560044516
50,2. anonym,25,Male,Non-English,1,this,0.8475347650091862
51,2. anonym,25,Male,Non-English,1,place,1.8289148299954832
52,2. anonym,25,Male,Non-English,1,was,1.3023699220066192
53,2. anonym,25,Male,Non-English,1,a,0.7560288469976513
54,2. anonym,25,Male,Non-English,1,large,0.7857976939994842
55,2. anonym,25,Male,Non-English,1,"oak-tree,",0.8738378310081316
56,2. anonym,25,Male,Non-English,1,"and,",2.3927451740019023
57,2. anonym,25,Male,Non-English,1,from,0.904155661992263
58,2. anonym,25,Male,Non-English,1,the,0.992058306990657
59,2. anonym,25,Male,Non-English,1,top,0.8681340150069445
60,2. anonym,25,Male,Non-English,1,of,0.8070648950088071
61,2. anonym,25,Male,Non-English,1,the,0.8974946929956786
62,2. anonym,25,Male,Non-English,1,"tree,",0.7765771470003529
63,2. anonym,25,Male,Non-English,1,there,0.85573428600037
64,2. anonym,25,Male,Non-English,1,came,0.8447484630014515
65,2. anonym,25,Male,Non-English,1,a,0.6783956769941142
66,2. anonym,25,Male,Non-English,1,loud,0.8583121080009732
67,2. anonym,25,Male,Non-English,1,buzzing-noise.,1.7904255499888677
68,2. anonym,25,Male,Non-English,1,Winnie-the-Pooh,0.9294844060059404
69,2. anonym,25,Male,Non-English,1,sat,0.6263732410006924
70,2. anonym,25,Male,Non-English,1,down,0.7356696319911862
71,2. anonym,25,Male,Non-English,1,at,0.8491182050056523
72,2. anonym,25,Male,Non-English,1,the,1.0148023270012345
73,2. anonym,25,Male,Non-English,1,foot,0.7840341919945786
74,2. anonym,25,Male,Non-English,1,of,0.6660918270063121
75,2. anonym,25,Male,Non-English,1,the,0.8682378610101296
76,2. anonym,25,Male,Non-English,1,"tree,",0.8104459149908507
77,2. anonym,25,Male,Non-English,1,put,0.8021273150079651
78,2. anonym,25,Male,Non-English,1,his,0.7131678290024865
79,2. anonym,25,Male,Non-English,1,head,0.731126642000163
80,2. anonym,25,Male,Non-English,1,between,0.7792580370005453
81,2. anonym,25,Male,Non-English,1,his,1.1150722239981405
82,2. anonym,25,Male,Non-English,1,"paws,",0.793826609995449
83,2. anonym,25,Male,Non-English,1,and,1.070334495001589
84,2. anonym,25,Male,Non-English,1,began,0.6727345039980719
85,2. anonym,25,Male,Non-English,1,to,0.5336627610085998
86,2. anonym,25,Male,Non-English,1,think.,0.8183953020052286
87,2. anonym,25,Male,Non-English,1,First,1.0493594449944794
88,2. anonym,25,Male,Non-English,1,of,0.6308082489995286
89,2. anonym,25,Male,Non-English,1,all,0.7543953189888271
90,2. anonym,25,Male,Non-English,1,he,0.8369879750098335
91,2. anonym,25,Male,Non-English,1,said,0.9678808750031749
92,2. anonym,25,Male,Non-English,1,to,0.8008547170029487
93,2. anonym,25,Male,Non-English,1,himself:,1.0950739669933682
94,2. anonym,25,Male,Non-English,1,That,0.8397587060026126
95,2. anonym,25,Male,Non-English,1,buzzing-noise,1.2971466299932217
96,2. anonym,25,Male,Non-English,1,means,0.9178326669934904
97,2. anonym,25,Male,Non-English,1,something.,0.8211907189979684
98,2. anonym,25,Male,Non-English,1,You,0.6409386899904348
99,2. anonym,25,Male,Non-English,1,don’t,0.7066034349991241
100,2. anonym,25,Male,Non-English,1,get,0.588130858988734
101,2. anonym,25,Male,Non-English,1,a,0.7610734579939162
102,2. anonym,25,Male,Non-English,1,buzzing-noise,0.9758661860105349
103,2. anonym,25,Male,Non-English,1,like,0.6933513240073808
104,2. anonym,25,Male,Non-English,1,"that,",0.8303253409976605
105,2. anonym,25,Male,Non-English,1,just,1.1251437030005036
106,2. anonym,25,Male,Non-English,1,buzzing,1.2986268430104246
107,2. anonym,25,Male,Non-English,1,and,0.8739006719988538
108,2. anonym,25,Male,Non-English,1,"buzzing,",0.8782292520045303
109,2. anonym,25,Male,Non-English,1,without,0.7815023290022509
110,2. anonym,25,Male,Non-English,1,its,0.8569761440012371
111,2. anonym,25,Male,Non-English,1,meaning,0.8374895240121987
112,2. anonym,25,Male,Non-English,1,something.,1.0347613229969284
113,2. anonym,25,Male,Non-English,1,If,2.7344388869969407
114,2. anonym,25,Male,Non-English,1,there’s,1.1322762300114846
115,2. anonym,25,Male,Non-English,1,a,0.587208903991268
116,2. anonym,25,Male,Non-English,1,"buzzing-noise,",0.9461180720099946
117,2. anonym,25,Male,Non-English,1,somebody’s,1.0632304799946724
118,2. anonym,25,Male,Non-English,1,making,0.9168996149965096
119,2. anonym,25,Male,Non-English,1,a,1.1071876249916386
120,2. anonym,25,Male,Non-English,1,"buzzing-noise,",1.1177355099935085
121,2. anonym,25,Male,Non-English,1,and,0.9517508120043203
122,2. anonym,25,Male,Non-English,1,the,0.8066589390073204
123,2. anonym,25,Male,Non-English,1,only,0.7508200489974115
124,2. anonym,25,Male,Non-English,1,reason,0.636325619998388
125,2. anonym,25,Male,Non-English,1,for,0.8088829619955504
126,2. anonym,25,Male,Non-English,1,making,0.8343948550027562
127,2. anonym,25,Male,Non-English,1,a,0.8506184769939864
128,2. anonym,25,Male,Non-English,1,buzzing-noise,0.8475941430078819
129,2. anonym,25,Male,Non-English,1,that,0.7229577450052602
130,2. anonym,25,Male,Non-English,1,I,0.747922931011999
131,2. anonym,25,Male,Non-English,1,know,0.7629216479981551
132,2. anonym,25,Male,Non-English,1,of,0.992192714009434
133,2. anonym,25,Male,Non-English,1,is,0.7740851389971795
134,2. anonym,25,Male,Non-English,1,because,0.6123140900017461
135,2. anonym,25,Male,Non-English,1,you’re,0.8601692710071802
136,2. anonym,25,Male,Non-English,1,a,0.8151607640029397
137,2. anonym,25,Male,Non-English,1,bee.,0.8552080350054894
138,2. anonym,25,Male,Non-English,1,Then,0.8029849120066501
139,2. anonym,25,Male,Non-English,1,he,1.1759324879967608
140,2. anonym,25,Male,Non-English,1,thought,0.7480125379952369
141,2. anonym,25,Male,Non-English,1,another,0.7666843320039334
142,2. anonym,25,Male,Non-English,1,long,0.8024575449962867
143,2. anonym,25,Male,Non-English,1,"time,",0.7379459090007003
144,2. anonym,25,Male,Non-English,1,and,0.7362423890008358
145,2. anonym,25,Male,Non-English,1,said:,0.8634649040031945
146,2. anonym,25,Male,Non-English,1,‘And,0.7064129120117286
147,2. anonym,25,Male,Non-English,1,the,0.7212372420035535
148,2. anonym,25,Male,Non-English,1,only,0.7367731440026546
149,2. anonym,25,Male,Non-English,1,reason,1.002050170005532
150,2. anonym,25,Male,Non-English,1,for,0.8935910520085599
151,2. anonym,25,Male,Non-English,1,being,1.2479708250029944
152,2. anonym,25,Male,Non-English,1,a,0.662093619001098
153,2. anonym,25,Male,Non-English,1,bee,0.5638458370085573
154,2. anonym,25,Male,Non-English,1,that,0.9403878349985462
155,2. anonym,25,Male,Non-English,1,I,0.8027788570034318
156,2. anonym,25,Male,Non-English,1,know,0.7836687789967982
157,2. anonym,25,Male,Non-English,1,of,0.8171239869989222
158,2. anonym,25,Male,Non-English,1,is,0.748677925002994
159,2. anonym,25,Male,Non-English,1,making,0.7604878889978863
160,2. anonym,25,Male,Non-English,1,honey.’,0.7174103419965832
161,2. anonym,25,Male,Non-English,1,And,1.0398258789937245
162,2. anonym,25,Male,Non-English,1,then,0.830185019003693
163,2. anonym,25,Male,Non-English,1,he,0.9131458420015406
164,2. anonym,25,Male,Non-English,1,got,0.7605361940077273
165,2. anonym,25,Male,Non-English,1,"up,",0.661628614005167
166,2. anonym,25,Male,Non-English,1,and,0.804055803004303
167,2. anonym,25,Male,Non-English,1,said:,0.7296690880029928
168,2. anonym,25,Male,Non-English,1,‘And,0.9510261969990097
169,2. anonym,25,Male,Non-English,1,the,0.8216812899918295
170,2. anonym,25,Male,Non-English,1,only,0.7827604850026546
171,2. anonym,25,Male,Non-English,1,reason,0.7233266390103381
172,2. anonym,25,Male,Non-English,1,for,0.5565644739981508
173,2. anonym,25,Male,Non-English,1,making,0.8082233419991098
174,2. anonym,25,Male,Non-English,1,honey,0.6967778730031569
175,2. anonym,25,Male,Non-English,1,is,0.5099341410095803
176,2. anonym,25,Male,Non-English,1,so,0.8099778839969076
177,2. anonym,25,Male,Non-English,1,as,1.1303205209987937
178,2. anonym,25,Male,Non-English,1,I,0.7233986700011883
179,2. anonym,25,Male,Non-English,1,can,0.7101108950009802
180,2. anonym,25,Male,Non-English,1,eat,0.9841808640048839
181,2. anonym,25,Male,Non-English,1,it.’,1.0248902970051859
182,2. anonym,25,Male,Non-English,1,So,0.7073568050109316
183,2. anonym,25,Male,Non-English,1,he,0.9183353350090329
184,2. anonym,25,Male,Non-English,1,began,0.8064014730043709
185,2. anonym,25,Male,Non-English,1,to,0.6261423789983382
186,2. anonym,25,Male,Non-English,1,climb,0.7056637939967914
187,2. anonym,25,Male,Non-English,1,the,0.5349254239990842
188,2. anonym,25,Male,Non-English,1,tree.,1.5007258800033014
