,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction.time
0,5-03,53,Female,Non-English,2,Once,0.6586536489999162
1,5-03,53,Female,Non-English,2,upon,0.5369254159998036
2,5-03,53,Female,Non-English,2,a,0.5164473429999816
3,5-03,53,Female,Non-English,2,"time,",0.6288886949998869
4,5-03,53,Female,Non-English,2,a,0.4474091460001546
5,5-03,53,Female,Non-English,2,very,0.5807452289998309
6,5-03,53,Female,Non-English,2,long,0.44361574499998824
7,5-03,53,Female,Non-English,2,time,0.4635376480000559
8,5-03,53,Female,Non-English,2,ago,0.6219589349998387
9,5-03,53,Female,Non-English,2,"now,",0.49157696299994313
10,5-03,53,Female,Non-English,2,about,0.5797924949999924
11,5-03,53,Female,Non-English,2,last,0.5187426069999219
12,5-03,53,Female,Non-English,2,"Friday,",0.613258506999955
13,5-03,53,Female,Non-English,2,Winnie-the-Pooh,0.5496611309999935
14,5-03,53,Female,Non-English,2,lived,0.538158994999776
15,5-03,53,Female,Non-English,2,in,0.5740306929999406
16,5-03,53,Female,Non-English,2,a,0.5151495929999328
17,5-03,53,Female,Non-English,2,forest,0.4967452249998132
18,5-03,53,Female,Non-English,2,all,0.5399080180000055
19,5-03,53,Female,Non-English,2,by,0.523972633999847
20,5-03,53,Female,Non-English,2,himself,0.6470113160000892
21,5-03,53,Female,Non-English,2,under,0.47049986599995464
22,5-03,53,Female,Non-English,2,the,0.5961569220000911
23,5-03,53,Female,Non-English,2,name,0.4278120209999088
24,5-03,53,Female,Non-English,2,of,0.48807668699987516
25,5-03,53,Female,Non-English,2,Sanders.,0.5708217169999443
26,5-03,53,Female,Non-English,2,One,0.42450453099991137
27,5-03,53,Female,Non-English,2,day,0.48216097799991076
28,5-03,53,Female,Non-English,2,when,0.4121950889998516
29,5-03,53,Female,Non-English,2,he,0.5009405789999164
30,5-03,53,Female,Non-English,2,was,0.44251488700001573
31,5-03,53,Female,Non-English,2,out,0.46091821300001357
32,5-03,53,Female,Non-English,2,"walking,",0.37846197699991535
33,5-03,53,Female,Non-English,2,he,0.358176229000037
34,5-03,53,Female,Non-English,2,came,0.3599388380000619
35,5-03,53,Female,Non-English,2,to,0.38003838599979645
36,5-03,53,Female,Non-English,2,an,0.3111478989999341
37,5-03,53,Female,Non-English,2,open,0.331909762000123
38,5-03,53,Female,Non-English,2,place,0.28480234699986795
39,5-03,53,Female,Non-English,2,in,0.327439780000077
40,5-03,53,Female,Non-English,2,the,0.3023517950000496
41,5-03,53,Female,Non-English,2,middle,0.26950722099991253
42,5-03,53,Female,Non-English,2,of,0.2802064459999656
43,5-03,53,Female,Non-English,2,the,0.23570754000002125
44,5-03,53,Female,Non-English,2,"forest,",0.22823987099991427
45,5-03,53,Female,Non-English,2,and,0.24435759899984077
46,5-03,53,Female,Non-English,2,in,0.23673852800015993
47,5-03,53,Female,Non-English,2,the,0.25999257600005876
48,5-03,53,Female,Non-English,2,middle,0.26359325399994304
49,5-03,53,Female,Non-English,2,of,0.28907113900004333
50,5-03,53,Female,Non-English,2,this,0.25771853299988834
51,5-03,53,Female,Non-English,2,place,0.24597313099980056
52,5-03,53,Female,Non-English,2,was,0.25112724199993863
