,ID,Age,Gender,Native_Language,Stimulus,Word,Reaction_Time
0,Veronika Juhasz,21,Female,Non English,2,Once,0.8569595169974491
1,Veronika Juhasz,21,Female,Non English,2,upon,0.5755058029899374
2,Veronika Juhasz,21,Female,Non English,2,a,0.47238645603647456
3,Veronika Juhasz,21,Female,Non English,2,"time,",0.5527846360346302
4,Veronika Juhasz,21,Female,Non English,2,a,0.4845685489708558
5,Veronika Juhasz,21,Female,Non English,2,very,0.4725550939911045
6,Veronika Juhasz,21,Female,Non English,2,long,0.4900792380212806
7,Veronika Juhasz,21,Female,Non English,2,time,0.5056110420264304
8,Veronika Juhasz,21,Female,Non English,2,ago,0.5109556959941983
9,Veronika Juhasz,21,Female,Non English,2,"now,",0.5079399790265597
10,Veronika Juhasz,21,Female,Non English,2,about,0.46832047594944015
11,Veronika Juhasz,21,Female,Non English,2,last,0.45787991798715666
12,Veronika Juhasz,21,Female,Non English,2,"Friday,",0.6630481430329382
13,Veronika Juhasz,21,Female,Non English,2,Winnie-the-Pooh,0.8105920340167359
14,Veronika Juhasz,21,Female,Non English,2,lived,0.7479656850337051
15,Veronika Juhasz,21,Female,Non English,2,in,0.5992665910162032
16,Veronika Juhasz,21,Female,Non English,2,a,0.5132162100053392
17,Veronika Juhasz,21,Female,Non English,2,forest,0.5216670269728638
18,Veronika Juhasz,21,Female,Non English,2,all,0.5095486330101267
19,Veronika Juhasz,21,Female,Non English,2,by,0.45562184002483264
20,Veronika Juhasz,21,Female,Non English,2,himself,0.4966670859721489
21,Veronika Juhasz,21,Female,Non English,2,under,0.5156175210140646
22,Veronika Juhasz,21,Female,Non English,2,the,0.4401597550022416
23,Veronika Juhasz,21,Female,Non English,2,name,0.5674989169929177
24,Veronika Juhasz,21,Female,Non English,2,of,0.43069308501435444
25,Veronika Juhasz,21,Female,Non English,2,Sanders.,0.5714382599689998
26,Veronika Juhasz,21,Female,Non English,2,One,0.539717298001051
27,Veronika Juhasz,21,Female,Non English,2,day,0.507256540004164
28,Veronika Juhasz,21,Female,Non English,2,when,0.4620310179889202
29,Veronika Juhasz,21,Female,Non English,2,he,0.5245191400172189
30,Veronika Juhasz,21,Female,Non English,2,was,0.5840381670277566
31,Veronika Juhasz,21,Female,Non English,2,out,0.7018156269914471
32,Veronika Juhasz,21,Female,Non English,2,"walking,",0.843906647991389
33,Veronika Juhasz,21,Female,Non English,2,he,0.5726017060223967
34,Veronika Juhasz,21,Female,Non English,2,came,0.5661866969894618
35,Veronika Juhasz,21,Female,Non English,2,to,0.581531397998333
36,Veronika Juhasz,21,Female,Non English,2,an,0.5430106180137955
37,Veronika Juhasz,21,Female,Non English,2,open,1.0232271570130251
38,Veronika Juhasz,21,Female,Non English,2,place,0.6297092009917833
39,Veronika Juhasz,21,Female,Non English,2,in,0.4848899259814061
40,Veronika Juhasz,21,Female,Non English,2,the,0.4408401750260964
41,Veronika Juhasz,21,Female,Non English,2,middle,0.5128575619892217
42,Veronika Juhasz,21,Female,Non English,2,of,0.5176018319907598
43,Veronika Juhasz,21,Female,Non English,2,the,0.4945839319843799
44,Veronika Juhasz,21,Female,Non English,2,"forest,",0.5202709609875455
45,Veronika Juhasz,21,Female,Non English,2,and,0.4777527489932254
46,Veronika Juhasz,21,Female,Non English,2,in,0.4953015839564614
47,Veronika Juhasz,21,Female,Non English,2,the,0.4842797180172056
48,Veronika Juhasz,21,Female,Non English,2,middle,0.4949909329880029
49,Veronika Juhasz,21,Female,Non English,2,of,0.4934284729533829
50,Veronika Juhasz,21,Female,Non English,2,this,0.45464721805183217
51,Veronika Juhasz,21,Female,Non English,2,place,0.5520015570218675
52,Veronika Juhasz,21,Female,Non English,2,was,0.5689491570228711
53,Veronika Juhasz,21,Female,Non English,2,a,0.5830192319699563
54,Veronika Juhasz,21,Female,Non English,2,large,0.5932282080175355
55,Veronika Juhasz,21,Female,Non English,2,"oak-tree,",0.6568242219509557
56,Veronika Juhasz,21,Female,Non English,2,"and,",0.5068524569505826
57,Veronika Juhasz,21,Female,Non English,2,from,0.4906629150500521
